날짜,총 재생 횟수,변동
2025년 10월 04일,9946,0
2025년 10월 05일,16293,6347
2025년 10월 06일,24962,8669
2025년 10월 07일,37877,12915
2025년 10월 08일,51949,14072
2025년 10월 09일,66953,15004
2025년 10월 10일,84027,17074
2025년 10월 11일,101743,17716
2025년 10월 12일,114775,13032
2025년 10월 13일,131135,16360
2025년 10월 14일,144247,13112
2025년 10월 15일,160592,16345
2025년 10월 16일,177026,16434
2025년 10월 17일,192486,15460
2025년 10월 18일,209293,16807
2025년 10월 19일,221006,11713
2025년 10월 20일,232839,11833
2025년 10월 21일,245673,12834
2025년 10월 22일,259846,14173
2025년 10월 23일,273881,14035
2025년 10월 24일,287478,13597
2025년 10월 25일,300436,12958
2025년 10월 26일,312419,11983
2025년 10월 27일,323144,10725
2025년 10월 28일,335744,12600
2025년 10월 29일,348782,13038
2025년 10월 30일,362129,13347
2025년 10월 31일,375427,13298
2025년 11월 01일,388407,12980
2025년 11월 02일,399871,11464
2025년 11월 03일,411464,11593
2025년 11월 04일,424353,12889
2025년 11월 05일,436425,12072
2025년 11월 06일,448624,12199
2025년 11월 07일,460287,11663
2025년 11월 08일,472865,12578
2025년 11월 09일,484797,11932
2025년 11월 10일,494915,10118
2025년 11월 11일,507071,12156
2025년 11월 12일,519037,11966
2025년 11월 13일,532250,13213
2025년 11월 14일,545890,13640
2025년 11월 15일,560301,14411
2025년 11월 16일,572481,12180
2025년 11월 17일,583390,10909
2025년 11월 18일,596226.5,12837
2025년 11월 19일,609063,12837
2025년 11월 20일,621619,12556
2025년 11월 21일,634105,12486
2025년 11월 22일,647035,12930
2025년 11월 23일,658343,11308
2025년 11월 24일,668687,10344
2025년 11월 25일,680193,11506
2025년 11월 26일,692391,12198
2025년 11월 27일,706110,13719
2025년 11월 28일,721761,15651
2025년 11월 29일,737785,16024
2025년 11월 30일,750647,12862
2025년 12월 01일,764503,13856
2025년 12월 02일,777022,12519
2025년 12월 03일,791143,14121
2025년 12월 04일,803996,12853
2025년 12월 05일,816528,12532
2025년 12월 06일,829427,12899
2025년 12월 07일,841871,12444
2025년 12월 08일,852545,10674
2025년 12월 09일,864899,12354
2025년 12월 10일,879890,14991
2025년 12월 11일,890580,10690
2025년 12월 12일,904930,14350
2025년 12월 13일,919176,14246
2025년 12월 14일,932027,12851
2025년 12월 15일,942721,10694
2025년 12월 16일,954716,11995
2025년 12월 17일,967544,12828
2025년 12월 18일,980282,12738
2025년 12월 19일,993362,13080
2025년 12월 20일,1006223,12861
2025년 12월 21일,1018314,12091
2025년 12월 22일,1029406,11092
2025년 12월 23일,1041406,12000
2025년 12월 24일,1053170,11764
2025년 12월 25일,1064520,11350
2025년 12월 26일,1074268,9748
2025년 12월 27일,1086258,11990
2025년 12월 28일,1097668,11410
2025년 12월 29일,1107843,10175
2025년 12월 30일,1117342,9499
2025년 12월 31일,1128761,11419
2026년 01월 01일,1139870,11109
2026년 01월 02일,1149316,9446
2026년 01월 03일,1160569,11253
2026년 01월 04일,1171007,10438
2026년 01월 05일,1181031,10024
2026년 01월 06일,1192445,11414
2026년 01월 07일,1203426,10981
2026년 01월 08일,1215025,11599
2026년 01월 09일,1228163,13138
2026년 01월 10일,1238887,10724
2026년 01월 11일,1249697,10810
2026년 01월 12일,1259561,9864
2026년 01월 13일,1270658,11097
2026년 01월 14일,1283577,12919
2026년 01월 15일,1293255,9678
2026년 01월 16일,1304476,11221
2026년 01월 17일,1316567,12091
2026년 01월 18일,1327461,10894
2026년 01월 19일,1336838,9377
2026년 01월 20일,1347302,10464
2026년 01월 21일,1358019,10717
2026년 01월 22일,1368393,10374
2026년 01월 23일,1378555,10162
2026년 01월 24일,1388545,9990
2026년 01월 25일,1397904,9359
2026년 01월 26일,1405240,7336
2026년 01월 27일,1413707,8467
